SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",151.561749326,154.123212715,162.10451938,7.98130666517,0.051785234194,0.00151464642221,21.1321713901,"No formal educational credential",None,"Short-term on-the-job training"
47-2031,Carpenters,151.16668698,153.422856884,161.478443892,8.0555870083,0.0525057815498,0.00151069832996,33.4233961488,"High school diploma or equivalent",None,Apprenticeship
19-4021,"Biological Technicians",150.798106826,150.050550018,147.094170206,-2.95637981182,-0.0197025589807,0.00150701488995,25.2203365305,"Bachelor's degree",None,None
53-5031,"Ship Engineers",147.068794209,148.321376099,153.275469628,4.95409352909,0.033401075822,0.00146974565786,45.6224335413,"Postsecondary nondegree award","Less than 5 years",None
11-3012,"Administrative Services Managers",145.04693086,146.749957781,151.680820604,4.93086282219,0.0336004377564,0.00144953997864,60.441675713,"Bachelor's degree","Less than 5 years",None
13-2031,"Budget Analysts",137.628270438,137.681024596,137.254587257,-0.426437338829,-0.00309728475715,0.00137540090651,40.597933466,"Bachelor's degree",None,None
35-2021,"Food Preparation Workers",135.115735859,133.610488831,126.275921527,-7.3345673043,-0.0548951460955,0.00135029165877,18.1707959321,"No formal educational credential",None,"Short-term on-the-job training"
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",134.099885355,136.313456528,144.687150734,8.37369420571,0.061429696077,0.00134013966238,35.2827273706,"Postsecondary nondegree award",None,"Moderate-term on-the-job training"
21-1029,"Social Workers, All Other",132.581621575,132.987855082,133.545995617,0.558140535284,0.00419692862134,0.00132496675225,42.5994610346,"Bachelor's degree",None,None
19-5011,"Occupational Health and Safety Specialists",132.403653285,133.566067685,137.088411095,3.52234340978,0.0263715438421,0.00132318820962,44.5572118076,"Bachelor's degree",None,None
